MC	<p>001. f1f5</p> <p>Which one of the following statements is <span style="color: #169179;"><strong>TRUE</strong></span> about post-transcriptional mRNA modification?</p>	A. <span style="color: #0000b3;">exons</span> are joined together	Correct	B. reverse transcription of the mRNA	Incorrect	C. about 250 <span style="color: #4d4d00;">guanine residues</span> are added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. a cap is placed on the <span style="color: #008080;">3&prime; end</span>	Incorrect
MC	<p>062. 2f05</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. RNA splicing	Incorrect	B. addition of a <span style="color: #008080;">3&prime; end</span> <span style="color: #4d4d00;">poly-guanidinylation</span>	Correct	C. <span style="color: #0000b3;">exons</span> are stuck back together	Incorrect	D. a <span style="color: #4d4d00;">modified guanosine</span> is placed on the <span style="color: #86592d;">5&prime; end</span>	Incorrect
MC	<p>063. a0a3</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. RNA splicing	Incorrect	B. addition of a <span style="color: #4d4d00;">poly-guanidinylation</span> tail on the <span style="color: #008080;">3&prime; end</span>	Correct	C. <span style="color: #86592d;">5&prime; end</span> capping	Incorrect	D. <span style="color: #0000b3;">exons</span> are fused together	Incorrect
MC	<p>064. 9890</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. RNA splicing	Incorrect	B. addition of a cap on the <span style="color: #008080;">3&prime; end</span>	Correct	C. about 250 <span style="color: #00802b;">adenine residues</span> are added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. <span style="color: #b30059;">introns</span> of the RNA are removed	Incorrect
MC	<p>065. 0b91</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. RNA splicing	Incorrect	B. addition of a cap on the <span style="color: #86592d;">5&prime; end</span>	Incorrect	C. <span style="color: #4d4d00;">poly-guanidinylation</span> at the <span style="color: #008080;">3&prime; end</span>	Correct	D. <span style="color: #b30059;">introns</span> of the RNA are removed	Incorrect
MC	<p>066. 0af8</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #00802b;">modified adenosine</span> is linked to the <span style="color: #86592d;">5&prime; end</span>	Correct	B. nucleotide base modification	Incorrect	C. <span style="color: #0000b3;">exons</span> are fused together	Incorrect	D. addition of about 250 <span style="color: #00802b;">adenine residues</span> on the <span style="color: #008080;">3&prime; end</span>	Incorrect
MC	<p>067. 92c5</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #00802b;">modified adenosine</span> is linked to the <span style="color: #86592d;">5&prime; end</span>	Correct	B.<span style="color: #0000b3;"> coding</span> sections are joined together	Incorrect	C. RNA splicing	Incorrect	D. addition of about 250 <span style="color: #00802b;">adenine residues</span> on the <span style="color: #008080;">3&prime; end</span>	Incorrect
MC	<p>068. c2c5</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #00802b;">modified adenosine</span> is placed on the <span style="color: #86592d;">5&prime; end</span>	Correct	B. <span style="color: #00802b;">poly-adenine tail</span> is added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	C. RNA splicing	Incorrect	D.<span style="color: #0000b3;"> coding</span> sections are fused together	Incorrect
MC	<p>069. a332</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #4d4d00;">modified guanosine</span> is added at the <span style="color: #86592d;">5&prime; end</span>	Incorrect	B. RNA splicing	Incorrect	C. <span style="color: #b30059;">non-coding</span> sections of the RNA are removed	Incorrect	D. <span style="color: #00802b;">poly-adenine tail</span> is added on the <span style="color: #86592d;">5&prime; end</span>	Correct
MC	<p>070. f4df</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #4d4d00;">modified guanosine</span> is added at the <span style="color: #86592d;">5&prime; end</span>	Incorrect	B. about 250 <span style="color: #4d4d00;">guanine residues</span> are added on the <span style="color: #008080;">3&prime; end</span>	Correct	C. removing internal <span style="color: #b30059;">non-coding</span> RNA sequences	Incorrect	D. nucleotide base modification	Incorrect
MC	<p>071. 3868</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #4d4d00;">modified guanosine</span> is added at the <span style="color: #86592d;">5&prime; end</span>	Incorrect	B. addition of a <span style="color: #00802b;">poly-adenylation</span> tail on the <span style="color: #86592d;">5&prime; end</span>	Correct	C. nucleotide base modification	Incorrect	D. removal of <span style="color: #b30059;">introns</span>	Incorrect
MC	<p>072. b249</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #4d4d00;">modified guanosine</span> is linked to the <span style="color: #008080;">3&prime; end</span>	Correct	B. nucleotide base modification	Incorrect	C. about 250 <span style="color: #00802b;">adenine residues</span> are added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. removing internal <span style="color: #b30059;">non-coding</span> RNA sequences	Incorrect
MC	<p>073. ea8d</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #4d4d00;">modified guanosine</span> is linked to the <span style="color: #86592d;">5&prime; end</span>	Incorrect	B. <span style="color: #00802b;">poly-adenine tail</span> is added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	C. removal the intervening, <span style="color: #b30059;">non-coding</span> sequences	Incorrect	D. reverse transcription of the mRNA	Correct
MC	<p>074. 480b</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #4d4d00;">modified guanosine</span> is linked to the <span style="color: #86592d;">first nucleotide</span>	Incorrect	B. reverse transcription of the mRNA	Correct	C. about 250 <span style="color: #00802b;">adenine residues</span> are added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. <span style="color: #b30059;">non-coding</span> sections of the RNA are removed	Incorrect
MC	<p>075. fe47</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #4d4d00;">modified guanosine</span> is placed on the <span style="color: #86592d;">5&prime; end</span>	Incorrect	B. RNA splicing	Incorrect	C. addition of about 250 <span style="color: #4d4d00;">guanine residues</span> on the <span style="color: #008080;">3&prime; end</span>	Correct	D.<span style="color: #0000b3;"> coding</span> sections are spliced together	Incorrect
MC	<p>076. 780d</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #4d4d00;">modified guanosine</span> is placed on the <span style="color: #86592d;">5&prime; end</span>	Incorrect	B. RNA splicing	Incorrect	C. removal of <span style="color: #0000b3;">exons</span>	Correct	D. addition of a <span style="color: #00802b;">poly-adenylation</span> tail on the <span style="color: #008080;">3&prime; end</span>	Incorrect
MC	<p>077. d505</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a <span style="color: #4d4d00;">modified guanosine</span> is placed on the <span style="color: #86592d;">5&prime; end</span>	Incorrect	B. addition of a <span style="color: #00802b;">poly-adenylation</span> tail on the <span style="color: #008080;">3&prime; end</span>	Incorrect	C. RNA splicing	Incorrect	D. <span style="color: #b30059;">introns</span> are joined together	Correct
MC	<p>078. 9f0a</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. a cap is placed on the <span style="color: #86592d;">5&prime; end</span>	Incorrect	B. <span style="color: #0000b3;">exons</span> are fused together	Incorrect	C. addition of a <span style="color: #86592d;">5&prime; end</span> <span style="color: #00802b;">poly-adenylation</span>	Correct	D. RNA splicing	Incorrect
MC	<p>079. fde5</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. about 250 <span style="color: #00802b;">adenine residues</span> are added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	B. a cap is placed on the <span style="color: #008080;">3&prime; end</span>	Correct	C. nucleotide base modification	Incorrect	D. <span style="color: #0000b3;">exons</span> are spliced together	Incorrect
MC	<p>080. 3be1</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. about 250 <span style="color: #00802b;">adenine residues</span> are added on the <span style="color: #86592d;">5&prime; end</span>	Correct	B. removal of <span style="color: #b30059;">introns</span>	Incorrect	C. a cap is placed on the <span style="color: #86592d;">5&prime; end</span>	Incorrect	D. nucleotide base modification	Incorrect
MC	<p>081. d6cd</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. addition of a <span style="color: #00802b;">poly-adenylation</span> tail on the <span style="color: #008080;">3&prime; end</span>	Incorrect	B. <span style="color: #0000b3;">exons</span> of the RNA are removed	Correct	C. <span style="color: #86592d;">5&prime; end</span> capping	Incorrect	D. nucleotide base modification	Incorrect
MC	<p>082. 9d6a</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. addition of a <span style="color: #00802b;">poly-adenylation</span> tail on the <span style="color: #008080;">3&prime; end</span>	Incorrect	B. <span style="color: #008080;">3&prime; end</span> capping	Correct	C. nucleotide base modification	Incorrect	D. <span style="color: #0000b3;">exons</span> are fused together	Incorrect
MC	<p>083. 4faf</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. addition of a <span style="color: #00802b;">poly-adenylation</span> tail on the <span style="color: #86592d;">5&prime; end</span>	Correct	B. RNA splicing	Incorrect	C. a <span style="color: #4d4d00;">modified guanosine</span> is placed on the <span style="color: #86592d;">5&prime; end</span>	Incorrect	D. <span style="color: #0000b3;">exons</span> are joined together	Incorrect
MC	<p>084. 7898</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. addition of a <span style="color: #008080;">3&prime; end</span> <span style="color: #00802b;">poly-adenylation</span>	Incorrect	B. nucleotide base modification	Incorrect	C. <span style="color: #b30059;">non-coding</span> sections are spliced together	Correct	D. a <span style="color: #4d4d00;">modified guanosine</span> is linked to the <span style="color: #86592d;">5&prime; end</span>	Incorrect
MC	<p>085. 4014</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. addition of a cap on the <span style="color: #86592d;">5&prime; end</span>	Incorrect	B. removal of <span style="color: #b30059;">introns</span>	Incorrect	C. nucleotide base modification	Incorrect	D. addition of about 250 <span style="color: #4d4d00;">guanine residues</span> on the <span style="color: #008080;">3&prime; end</span>	Correct
MC	<p>086. e085</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. addition of about 250 <span style="color: #00802b;">adenine residues</span> on the <span style="color: #008080;">3&prime; end</span>	Incorrect	B. RNA splicing	Incorrect	C. a <span style="color: #4d4d00;">modified guanosine</span> is linked to the <span style="color: #86592d;">first nucleotide</span>	Incorrect	D. <span style="color: #b30059;">non-coding</span> sections are stuck back together	Correct
MC	<p>087. 8b9d</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. addition of about 250 <span style="color: #00802b;">adenine residues</span> on the <span style="color: #008080;">3&prime; end</span>	Incorrect	B. a <span style="color: #4d4d00;">modified guanosine</span> is placed on the <span style="color: #86592d;">5&prime; end</span>	Incorrect	C. RNA splicing	Incorrect	D. <span style="color: #b30059;">non-coding</span> sections are fused together	Correct
MC	<p>088. 22d4</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. addition of about 250 <span style="color: #4d4d00;">guanine residues</span> on the <span style="color: #008080;">3&prime; end</span>	Correct	B. a <span style="color: #4d4d00;">modified guanosine</span> is added at the <span style="color: #86592d;">5&prime; end</span>	Incorrect	C.<span style="color: #0000b3;"> coding</span> sections are stuck back together	Incorrect	D. nucleotide base modification	Incorrect
MC	<p>089. 7f6e</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. nucleotide base modification	Incorrect	B. <span style="color: #b30059;">introns</span> of the RNA are removed	Incorrect	C. <span style="color: #00802b;">poly-adenine tail</span> is added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. a <span style="color: #00802b;">modified adenosine</span> is added at the <span style="color: #86592d;">5&prime; end</span>	Correct
MC	<p>090. c2eb</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. nucleotide base modification	Incorrect	B. a <span style="color: #4d4d00;">modified guanosine</span> is added at the <span style="color: #86592d;">5&prime; end</span>	Incorrect	C. <span style="color: #4d4d00;">poly-guanidinylation</span> at the <span style="color: #008080;">3&prime; end</span>	Correct	D. removal of <span style="color: #b30059;">introns</span>	Incorrect
MC	<p>091. 8a01</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. nucleotide base modification	Incorrect	B. a <span style="color: #4d4d00;">modified guanosine</span> is linked to the <span style="color: #008080;">3&prime; end</span>	Correct	C.<span style="color: #0000b3;"> coding</span> sections are joined together	Incorrect	D. addition of about 250 <span style="color: #00802b;">adenine residues</span> on the <span style="color: #008080;">3&prime; end</span>	Incorrect
MC	<p>092. ed5a</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. nucleotide base modification	Incorrect	B. a <span style="color: #4d4d00;">modified guanosine</span> is placed on the <span style="color: #008080;">3&prime; end</span>	Correct	C. <span style="color: #0000b3;">exons</span> are joined together	Incorrect	D. <span style="color: #00802b;">poly-adenine tail</span> is added on the <span style="color: #008080;">3&prime; end</span>	Incorrect
MC	<p>093. 5b4d</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. nucleotide base modification	Incorrect	B.<span style="color: #0000b3;"> coding</span> sections are fused together	Incorrect	C. a <span style="color: #4d4d00;">modified guanosine</span> is added at the <span style="color: #86592d;">5&prime; end</span>	Incorrect	D. addition of about 250 <span style="color: #00802b;">adenine residues</span> on the <span style="color: #86592d;">5&prime; end</span>	Correct
MC	<p>094. 9827</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. nucleotide base modification	Incorrect	B.<span style="color: #0000b3;"> coding</span> sections are joined together	Incorrect	C. about 250 <span style="color: #00802b;">adenine residues</span> are added on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. <span style="color: #008080;">3&prime; end</span> capping	Correct
MC	<p>095. c1ce</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. removal of <span style="color: #b30059;">introns</span>	Incorrect	B. addition of a <span style="color: #00802b;">poly-adenylation</span> tail on the <span style="color: #008080;">3&prime; end</span>	Incorrect	C. nucleotide base modification	Incorrect	D. <span style="color: #008080;">3&prime; end</span> capping	Correct
MC	<p>096. b19e</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. removal the intervening, <span style="color: #b30059;">non-coding</span> sequences	Incorrect	B. a <span style="color: #00802b;">modified adenosine</span> is placed on the <span style="color: #86592d;">5&prime; end</span>	Correct	C. addition of a <span style="color: #00802b;">poly-adenylation</span> tail on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. RNA splicing	Incorrect
MC	<p>097. 28e3</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A. reverse transcription of the mRNA	Correct	B. <span style="color: #0000b3;">exons</span> are fused together	Incorrect	C. addition of about 250 <span style="color: #00802b;">adenine residues</span> on the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. a <span style="color: #4d4d00;">modified guanosine</span> is linked to the <span style="color: #86592d;">first nucleotide</span>	Incorrect
MC	<p>098. 8e98</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A.<span style="color: #0000b3;"> coding</span> sections are fused together	Incorrect	B. RNA splicing	Incorrect	C. a <span style="color: #4d4d00;">modified guanosine</span> is linked to the <span style="color: #008080;">last nucleotide</span>	Correct	D. addition of a <span style="color: #00802b;">poly-adenylation</span> tail on the <span style="color: #008080;">3&prime; end</span>	Incorrect
MC	<p>099. 4c84</p> <p>Which one of the following statements is <span style="color: #ba372a;"><strong>FALSE</strong></span> about post-transcriptional mRNA modification?</p>	A.<span style="color: #0000b3;"> coding</span> sections are spliced together	Incorrect	B. a <span style="color: #4d4d00;">modified guanosine</span> is linked to the <span style="color: #86592d;">first nucleotide</span>	Incorrect	C. <span style="color: #00802b;">poly-adenylation</span> at the <span style="color: #008080;">3&prime; end</span>	Incorrect	D. mRNA proofreading	Correct
